"marque","produit","pays_marche","format","classement","macro_categorie","base_reelle","actifs_principaux","dose_portion","cafeine_portion","prix_observe_2026_08_01","disponibilite_france","affiliation_ou_contact","source_officielle","statut_verification","notes","date_derniere_verification","statut_commercial_actuel","etat_source_officielle","experience_boisson","origine_cafe","nombre_portions","poids_conditionnement","cafeine_mg_min","cafeine_mg_max","niveau_cafeine","champignons_standardises","nombre_champignons","partie_champignon","methode_extraction_infusion","proteines_g","collagene_g","creatine_g","mct_g","sucres_edulcorants","allergenes_regime","preparation","prix_par_portion_observe","transparence_dosage","preuve_laboratoire","promesse_principale","priorite_seo","risque_editorial","source_secondaire","changements_2026_08_01"
"Setacor","Café funcional con hongos medicinales","Espagne","café, format à confirmer","Café multi-champignons","2 — Cafés artificiellement enrichis","café réel","Shiitake; Lion's Mane; Cordyceps","non publiée","non publiée","prix non extrait","expédition UE à confirmer","contact direct via site","https://www.setacor.com/producto/cafe-funcional-con-hongos-medicinales/","B","Produit bio espagnol; informations quantitatives à obtenir.","2026-08-01","page officielle observée; vente à reconfirmer","source officielle accessible et revérifiée","à confirmer","non publiée","non publié","non publié","à confirmer","à confirmer","non documenté","Lion's Mane; Cordyceps; Shiitake","3","non publiée","non publiée","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","à confirmer","non calculable avec les données publiques","faible","non publiée","bien-être fonctionnel / champignons","P2 — à compléter avant fiche longue","moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"MORLI","PERFORM+","Royaume-Uni","poudre instantanée","Café tout-en-un","2 — Cafés artificiellement enrichis","Arabica","Lion's Mane; Cordyceps; Reishi; moringa; collagène; L-théanine","non publiée","non publiée","prix non extrait","expédition France à confirmer","contact direct via site","https://morli.co/products/perform","B","Formule très large; dosage et origine du collagène à documenter.","2026-08-01","page officielle observée; vente à reconfirmer","source officielle accessible et revérifiée","café instantané","non publiée","non publié","non publié","à confirmer","à confirmer","non documenté","Lion's Mane; Reishi; Cordyceps","3","non publiée","non publiée","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","faible","non publiée","énergie / usage quotidien","P2 — à compléter avant fiche longue","moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"Rise & Shine","Mushroom Coffee","États-Unis","poudre instantanée","Café collagène, champignons et nootropiques","2 — Cafés artificiellement enrichis","café instantané","Chaga; Lion's Mane; L-théanine; Rhodiola; ginseng; extrait de grain de café; collagène bovin","2 639 mg de mélange champignons/nootropiques; dose collagène non publiée","non publiée","prix non extrait","non, marché États-Unis","contact direct via site","https://www.drinkriseandshine.com/products/rise-and-shine-mushroom-coffee","A","Champignons bio annoncés issus du corps fructifère; mélange propriétaire.","2026-08-01","actif — page officielle observée","source officielle accessible et revérifiée","café instantané","non publiée","non publié","non publié","à confirmer","à confirmer","non documenté","Lion's Mane; Chaga","2","corps fructifère annoncé","extrait; méthode non détaillée","non publié","dose non publiée","non publié","non publié","non publié","non végétalien (bovin)","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","partielle","non publiée","beauté / collagène","P2 — comparatif secondaire","moyen à élevé","non publiée","aucun changement majeur identifié lors de la revérification"
"Bioflow","Deep Focus Coffee","Union européenne","café instantané ou moulu à confirmer","Café Lion's Mane et L-théanine","2 — Cafés artificiellement enrichis","Arabica bio","Lion's Mane; L-théanine","non publiée","non publiée","prix non extrait","oui, page UE","contact direct via site","https://trybioflow.com/en-eu/pages/dfb1-coffee","B","Formule simple mais valeurs quantitatives non extraites.","2026-08-01","page officielle observée; vente à reconfirmer","source officielle accessible et revérifiée","café à préparer (goût café)","non publiée","non publié","non publié","à confirmer","à confirmer","non documenté","Lion's Mane","1","non publiée","extrait; méthode non détaillée","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","filtre, cafetière ou espresso selon mouture","non calculable avec les données publiques","faible","non publiée","focus / cognition","P2 — à compléter avant fiche longue","moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"ACTIVZ","Everyday Coffee","États-Unis","poudre instantanée","Café collagène et beauté","2 — Cafés artificiellement enrichis","café instantané","collagène; Tremella; acide hyaluronique; Chaga; vitamine C; polyphénols du café","non publiée","non publiée","prix non extrait","expédition internationale à confirmer","contact direct via site","https://www.activz.com/products/coffee","B","Positionnement peau/beauté; origine du collagène et doses à obtenir.","2026-08-01","page officielle observée; vente à reconfirmer","source officielle accessible et revérifiée","café instantané","non publiée","non publié","non publié","à confirmer","à confirmer","non documenté","Chaga; Tremella","2","non publiée","non publiée","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","faible","non publiée","beauté / collagène","P2 — à compléter avant fiche longue","moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"eGano","Ganoderma Coffee","International","poudre instantanée","Café au Ganoderma historique","2 — Cafés artificiellement enrichis","café Robusta","Ganoderma lucidum","non publiée","non publiée","prix variable via réseau","distribution internationale à confirmer","réseau de distributeurs eGano","https://www.eganoworldwide.com/","B","Gamme instantanée black et aromatisée; transparence quantitative limitée.","2026-08-01","page officielle observée; vente à reconfirmer","source officielle accessible et revérifiée","café instantané","non publiée","non publié","non publié","à confirmer","à confirmer","non documenté","Reishi","1","non publiée","non publiée","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","faible","non publiée","bien-être fonctionnel / champignons","P2 — à compléter avant fiche longue","moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"King Coffee","Cappuccino Collagen","Vietnam / international","sachets instantanés","Café au collagène","2 — Cafés artificiellement enrichis","café instantané cappuccino","collagène","dose non extraite du portfolio","non publiée","prix variable selon distributeur","distribution internationale; France à confirmer","contact export King Coffee","https://en.vietnordic.com/wp-content/uploads/2025/02/KING-COFFEE-products-portfolio_International_Oct.2024_EN.pdf","B","Référence présente au portfolio international 2024/2025; étiquette locale à obtenir.","2026-08-01","page officielle observée; vente à reconfirmer","document officiel PDF accessible","café instantané","non publiée","non publié","non publié","à confirmer","à confirmer","non documenté","non applicable","0","non applicable","non applicable","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","faible","non publiée","beauté / collagène","P2 — à compléter avant fiche longue","moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"Nature's Finest","Collagen Coffee","Slovénie / Europe","poudre instantanée","Café au collagène","2 — Cafés artificiellement enrichis","café Arabica instantané (20 %)","collagène (50 %); acide hyaluronique; vitamine C; biotine; MSM","5 g; 25 portions; conditionnement 125 g","non publiée","prix non extrait","expédition UE à confirmer","contact direct via site","https://www.naturesfinest.fr/produit/collagene-cafe-boisson/","A","Sans sucres ajoutés annoncé; la fiche technique détaille aussi tapioca et cellulose.","2026-08-01","actif — page officielle observée","source officielle accessible et revérifiée","café instantané","non publiée","25","125 g","à confirmer","à confirmer","non documenté","non applicable","0","non applicable","non applicable","non publié","2,5 g calculés à partir de 50 % de collagène dans une portion de 5 g","non publié","non publié","sans sucres ajoutés annoncé","allergènes/régime non publiés","diluer 5 g dans 200 ml d'eau tiède","non calculable avec les données publiques","élevée","non publiée","beauté / collagène","P2 — comparatif secondaire","faible à moyen","https://www.naturesfinest.si/wp-content/uploads/2024/08/5638-Collagen-Coffee-doc.pdf","aucun changement majeur identifié lors de la revérification"
"Brain and Brawn","Synergy Collagen Coffee","Australie","20 sachets instantanés","Café collagène, Cordyceps et MCT","2 — Cafés artificiellement enrichis","Arabica et crème fonctionnelle","collagène bovin; Cordyceps militaris bio; MCT C8/C10; fibres prébiotiques","15 g; 20 sachets; 300 g","non publiée","69,95 AUD / 20 sachets","non, marché Australie","contact direct via site","https://www.brainandbrawn.com.au/products/synergy-collagen-coffee-with-organic-cordyceps-mct-c8-c10-20-x-15g-sachet","A","Contient lait/beurre et collagène bovin; sans édulcorant annoncé.","2026-08-01","actif — page officielle observée","source officielle accessible et revérifiée","latte instantané","non publiée","20","300 g","à confirmer","à confirmer","non documenté","Cordyceps","1","non publiée","non publiée","non publié","dose non publiée","non publié","dose non publiée","sans édulcorant annoncé","contient lait; non végétalien (bovin)","diluer dans de l'eau ou du lait; température selon fabricant","3,50 AUD / portion","partielle","non publiée","beauté / collagène","P2 — comparatif secondaire","faible à moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"Brewy","Organic Mushroom Coffee","Australie","poudre instantanée 120 g","Café à six champignons et MCT","2 — Cafés artificiellement enrichis","café instantané bio","Reishi; Lion's Mane; Turkey Tail; Shiitake; King Trumpet; Cordyceps; MCT","doses non publiées; sachet 120 g","non publiée; annoncée légèrement inférieure au café classique","prix non extrait","non, marché Australie","contact direct via site","https://brewy.com.au/products/organic-mushroom-coffee","B","Liste d'ingrédients publiée mais doses et nature des extraits à préciser.","2026-08-01","page officielle observée; vente à reconfirmer","source officielle accessible et revérifiée","café instantané","non publiée","non publié","0 g","à confirmer","à confirmer","non documenté","Lion's Mane; Reishi; Cordyceps; Turkey Tail; Shiitake; King Trumpet","6","non publiée","extrait; méthode non détaillée","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","partielle","non publiée","bien-être fonctionnel / champignons","P2 — à compléter avant fiche longue","moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"RYTUAL","Café à base de hongos","Argentine","poudre instantanée","Café aux champignons","2 — Cafés artificiellement enrichis","Arabica","champignons adaptogènes, liste exacte à confirmer","non publiée","annoncée faible; valeur non publiée","prix en ARS à actualiser","non, marché Argentine","contact direct via site","https://rytualcafe.shop/products/rytual%C2%AE-cafe-a-base-de-hongos","C","Marque active mais documentation quantitative limitée.","2026-08-01","page officielle observée; vente à reconfirmer","source officielle partielle ou produit non finalisé","café instantané","non publiée","non publié","non publié","à confirmer","à confirmer","non documenté","mélange non détaillé","à confirmer","non publiée","non publiée","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","faible","non publiée","bien-être fonctionnel / champignons","P3 — veille / ne pas recommander encore","moyen à élevé","non publiée","aucun changement majeur identifié lors de la revérification"
"Physalis","Collagen Coffee","Belgique / Europe","12 sachets instantanés","Café collagène et MCT","2 — Cafés artificiellement enrichis","café Arabica instantané","collagène marin Naticol type I; MCT de coco","1 sachet; 5 g de collagène; 12 portions","non publiée","prix non extrait","oui, page officielle France","contact KeyPharm / Physalis","https://www.physalishealth.com/fr/complements-alimentaires/cheveux-peau-ongles-yeux/collagen-coffee/","A","Formule: 50 % collagène marin, 27,5 % poudre MCT, 22,5 % café; sans sucres ajoutés, gluten ni lait annoncés.","2026-08-01","actif — page officielle observée","source officielle accessible et revérifiée","café instantané","non publiée","12","non publié","à confirmer","à confirmer","non documenté","non applicable","0","non applicable","non applicable","non publié","5 g","non publié","non publié","sans sucres ajoutés annoncé","contient poisson; sans gluten et sans lait annoncés","diluer 1 sachet dans 150 ml d'eau chaude ou froide","non calculable avec les données publiques","partielle","non publiée","beauté / collagène","P1 — fiche prioritaire France","faible à moyen","https://www.physalishealth.com/en/blog/how-to-make-a-physalis-collagen-coffee/","aucun changement majeur identifié lors de la revérification"
